domain,mean_action_landmarks,std_action_landmarks,mean_plan_length,std_plan_length,mean_ratio
blocksworld,15.4,5.521674464226308,25.0,10.165300454651272,0.649680330634278
floortile,4.9,0.9944289260117533,43.6,8.77116487892762,0.11550692891512444
miconic,4.4,2.065591117977289,8.0,3.590109871423003,0.5421645021645022
rovers,5.1,4.581363212940979,16.9,8.723531395025756,0.27648850386836654
sokoban,1.7,2.0027758514399734,11.5,4.1163630117428225,0.12624204227145402
spanner,6.2,0.7888106377466155,8.4,1.6465452046971292,0.7614935064935064
transport,0.0,0.0,10.9,5.70477382938574,0.0
