experiment,domain,model,template,num_instances,total_samples,correct_samples,all_valid,any_valid,accuracy_samples,pass@1,pass@2,pass@3
3-samples,blocksworld,gemini-thinking,delete_relaxed_plan,20,60,13,0.0,0.45,0.22,0.22,0.37,0.45
3-samples,blocksworld,gemini-thinking,pddl,20,60,25,0.05,0.8,0.42,0.42,0.67,0.8
3-samples,blocksworld,gemini-thinking,random_new_landmark,20,60,24,0.1,0.8,0.4,0.4,0.63,0.8
3-samples,logistics,gemini-thinking,delete_relaxed_plan,20,60,22,0.1,0.7,0.37,0.37,0.57,0.7
3-samples,logistics,gemini-thinking,pddl,20,60,28,0.2,0.75,0.47,0.47,0.65,0.75
3-samples,logistics,gemini-thinking,random_new_landmark,20,60,30,0.15,0.85,0.5,0.5,0.73,0.85
