domain,model,template,num_landmarks,used_landmarks,used_ratio,instance
blocksworld,gemini-thinking,new_landmark,48.45,48.45,1.00,20
blocksworld,gemini-thinking,pddl,48.45,47.30,0.98,20
logistics,gemini-thinking,new_landmark,98.90,98.90,1.00,20
logistics,gemini-thinking,pddl,98.90,82.85,0.84,20
miconic,gemini-thinking,new_landmark,80.00,80.00,1.00,20
miconic,gemini-thinking,pddl,80.00,71.50,0.88,20
