experiment,domain,instance_subdir,model,template,max_samples,correct_instances,total_instances,candidates_token_count,num_action_landmarks,accuracy,pass@1
many-models,logistics,11-packages,gemini-2.5-flash-lite-thinking,pddl,1,0,4,1031.0,,0.0,0.0
many-models,logistics,11-packages,gemini-thinking,landmark,1,4,4,754.0,37.0,1.0,1.0
many-models,logistics,11-packages,gemini-thinking,pddl,1,3,4,823.75,,0.75,0.75
many-models,logistics,13-packages,gemini-2.5-flash-lite-thinking,landmark,1,0,4,1313.75,43.0,0.0,0.0
many-models,logistics,13-packages,gemini-2.5-flash-lite-thinking,pddl,1,0,4,932.0,,0.0,0.0
many-models,logistics,13-packages,gemini-thinking,landmark,1,2,4,979.5,43.0,0.5,0.5
many-models,logistics,13-packages,gemini-thinking,pddl,1,3,4,893.5,,0.75,0.75
many-models,logistics,15-packages,gemini-2.5-flash-lite-thinking,landmark,1,0,4,1297.25,52.0,0.0,0.0
many-models,logistics,15-packages,gemini-2.5-flash-lite-thinking,pddl,1,0,4,1236.25,,0.0,0.0
many-models,logistics,15-packages,gemini-thinking,landmark,1,2,4,1173.0,52.0,0.5,0.5
many-models,logistics,15-packages,gemini-thinking,pddl,1,3,4,1311.0,,0.75,0.75
many-models,logistics,17-packages,gemini-2.5-flash-lite-thinking,landmark,1,0,4,1337.75,62.5,0.0,0.0
many-models,logistics,17-packages,gemini-2.5-flash-lite-thinking,pddl,1,0,4,2507.25,,0.0,0.0
many-models,logistics,17-packages,gemini-thinking,landmark,1,3,4,1203.5,62.5,0.75,0.75
many-models,logistics,17-packages,gemini-thinking,pddl,1,4,4,1399.5,,1.0,1.0
many-models,logistics,3-packages,gemini-2.0-flash-lite,landmark,1,0,4,147.0,8.0,0.0,0.0
many-models,logistics,3-packages,gemini-2.0-flash-lite,pddl,1,0,4,209.0,,0.0,0.0
many-models,logistics,3-packages,gemini-2.5-flash-lite,landmark,1,0,4,186.75,8.0,0.0,0.0
many-models,logistics,3-packages,gemini-2.5-flash-lite,pddl,1,0,4,252.25,,0.0,0.0
many-models,logistics,3-packages,gemini-2.5-flash-lite-thinking,landmark,1,4,4,247.0,8.0,1.0,1.0
many-models,logistics,3-packages,gemini-2.5-flash-lite-thinking,pddl,1,2,4,292.5,,0.5,0.5
many-models,logistics,3-packages,gemini-thinking,landmark,1,4,4,218.0,8.0,1.0,1.0
many-models,logistics,3-packages,gemini-thinking,pddl,1,4,4,226.5,,1.0,1.0
many-models,logistics,5-packages,gemini-2.0-flash-lite,landmark,1,0,4,243.0,12.5,0.0,0.0
many-models,logistics,5-packages,gemini-2.0-flash-lite,pddl,1,0,4,283.0,,0.0,0.0
many-models,logistics,5-packages,gemini-2.5-flash-lite,landmark,1,0,4,302.6666666666667,12.5,0.0,0.0
many-models,logistics,5-packages,gemini-2.5-flash-lite,pddl,1,0,4,420.0,,0.0,0.0
